epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,12232.3,1.23863,0.7435,1.31778,0.95745,0.56916,0.63268,0.40743,1.30751,0.63013,1.43086,0.00573538,0.00573538,0.00573538
58,12446.6,1.23075,0.74029,1.31563,0.95133,0.58563,0.63473,0.40314,1.32711,0.63499,1.43958,0.00565923,0.00565923,0.00565923
59,12660.7,1.2202,0.73985,1.31706,0.95387,0.58389,0.63337,0.40814,1.31469,0.62415,1.43833,0.00558308,0.00558308,0.00558308
60,12875.1,1.21487,0.73991,1.30997,0.95125,0.58896,0.63454,0.40887,1.30691,0.62503,1.43308,0.00550692,0.00550692,0.00550692
61,13089.4,1.20612,0.7116,1.31183,0.95166,0.58625,0.6345,0.40708,1.32321,0.61986,1.44378,0.00543077,0.00543077,0.00543077
62,13303.6,1.20992,0.72293,1.31278,0.95076,0.58602,0.63504,0.40963,1.29683,0.61349,1.42169,0.00535462,0.00535462,0.00535462
63,13517.9,1.21297,0.72505,1.30641,0.94838,0.58292,0.63382,0.40527,1.31129,0.61487,1.43397,0.00527846,0.00527846,0.00527846
64,13732.1,1.20521,0.71741,1.30361,0.94629,0.59344,0.63222,0.40499,1.32647,0.62362,1.44666,0.00520231,0.00520231,0.00520231
65,13946.3,1.21133,0.71559,1.31597,0.95687,0.58553,0.63345,0.41022,1.30614,0.61411,1.42932,0.00512615,0.00512615,0.00512615
66,14160.7,1.20981,0.72099,1.30717,0.95954,0.58186,0.63582,0.41074,1.30827,0.61285,1.43563,0.00505,0.00505,0.00505
67,14375.1,1.21689,0.72476,1.31016,0.95179,0.58923,0.63511,0.4088,1.31499,0.61295,1.4319,0.00497385,0.00497385,0.00497385
68,14589.2,1.20524,0.71658,1.302,0.95626,0.58559,0.63482,0.40865,1.31104,0.60675,1.43041,0.00489769,0.00489769,0.00489769
69,14803.4,1.20362,0.70145,1.30116,0.95423,0.58985,0.63627,0.41284,1.29705,0.60514,1.41932,0.00482154,0.00482154,0.00482154
70,15017.7,1.18199,0.69753,1.29394,0.95512,0.58698,0.6366,0.41127,1.3073,0.60316,1.42845,0.00474538,0.00474538,0.00474538
71,15231.9,1.19917,0.70587,1.29823,0.94969,0.59528,0.63586,0.4135,1.30092,0.60764,1.42641,0.00466923,0.00466923,0.00466923
72,15446.2,1.18476,0.68535,1.28731,0.94862,0.59063,0.63523,0.40688,1.32619,0.60882,1.44345,0.00459308,0.00459308,0.00459308
73,15660.4,1.17834,0.69717,1.28482,0.96121,0.58538,0.63857,0.41244,1.31455,0.59931,1.43442,0.00451692,0.00451692,0.00451692
74,15874.5,1.18574,0.68788,1.29053,0.95213,0.58885,0.63651,0.40654,1.32811,0.60992,1.44808,0.00444077,0.00444077,0.00444077
75,16088.7,1.18724,0.68565,1.28698,0.95211,0.59144,0.63717,0.41451,1.29701,0.59745,1.41506,0.00436462,0.00436462,0.00436462
76,16303,1.17512,0.68004,1.27948,0.57326,0.59881,0.58479,0.36761,1.3271,0.77542,1.44134,0.00428846,0.00428846,0.00428846
77,16517.1,1.18623,0.68783,1.28449,0.61353,0.59509,0.62937,0.40102,1.32494,0.60829,1.44012,0.00421231,0.00421231,0.00421231
78,16731.4,1.17417,0.6713,1.27232,0.96135,0.58516,0.6387,0.41173,1.30237,0.59926,1.4207,0.00413615,0.00413615,0.00413615
79,16945.6,1.17226,0.67295,1.27654,0.95678,0.58625,0.63838,0.40947,1.31833,0.60377,1.43412,0.00406,0.00406,0.00406
80,17159.8,1.15933,0.67467,1.27755,0.94938,0.59734,0.63853,0.41125,1.29877,0.58952,1.42034,0.00398385,0.00398385,0.00398385
81,17373.9,1.1626,0.66516,1.27385,0.94739,0.59604,0.63762,0.41012,1.30768,0.5938,1.42592,0.00390769,0.00390769,0.00390769
82,17588,1.15576,0.66924,1.27465,0.95136,0.59366,0.63952,0.41644,1.28761,0.58742,1.41438,0.00383154,0.00383154,0.00383154
83,17802.4,1.14791,0.64917,1.25379,0.95962,0.58823,0.63847,0.4125,1.30605,0.59576,1.42692,0.00375538,0.00375538,0.00375538
84,18016.5,1.15925,0.66703,1.26461,0.95026,0.59593,0.63964,0.41395,1.30083,0.5887,1.42848,0.00367923,0.00367923,0.00367923
85,18230.6,1.15332,0.66048,1.2698,0.95388,0.59228,0.63889,0.41743,1.28392,0.59058,1.41631,0.00360308,0.00360308,0.00360308
86,18445,1.15833,0.66393,1.26978,0.95574,0.58974,0.63939,0.41974,1.28177,0.58802,1.41874,0.00352692,0.00352692,0.00352692
87,18659.4,1.14849,0.64865,1.25688,0.95086,0.59546,0.63972,0.41639,1.29118,0.58693,1.41896,0.00345077,0.00345077,0.00345077
88,18873.5,1.15141,0.65513,1.26437,0.95148,0.59758,0.64015,0.41597,1.2908,0.58191,1.41788,0.00337462,0.00337462,0.00337462
89,19087.7,1.14793,0.66096,1.26563,0.96061,0.58914,0.63953,0.41526,1.29422,0.58188,1.42171,0.00329846,0.00329846,0.00329846
90,19301.9,1.14111,0.6474,1.25926,0.95089,0.59273,0.63841,0.41471,1.29839,0.58323,1.42623,0.00322231,0.00322231,0.00322231
91,19516,1.15414,0.6572,1.26022,0.9506,0.59868,0.63992,0.41652,1.29216,0.5774,1.41845,0.00314615,0.00314615,0.00314615
92,19730.2,1.14026,0.64609,1.25899,0.95941,0.58787,0.64171,0.41686,1.29709,0.57851,1.42357,0.00307,0.00307,0.00307
93,19944.3,1.14107,0.63929,1.24361,0.95032,0.59905,0.64109,0.41642,1.29822,0.58044,1.42044,0.00299385,0.00299385,0.00299385
94,20158.5,1.13746,0.6362,1.24122,0.95452,0.59799,0.64161,0.41432,1.29891,0.57776,1.41937,0.00291769,0.00291769,0.00291769
95,20372.7,1.12253,0.63716,1.23863,0.95352,0.60034,0.64089,0.41537,1.30103,0.57324,1.42235,0.00284154,0.00284154,0.00284154
96,20586.9,1.13723,0.64467,1.25197,0.9566,0.59472,0.64169,0.41542,1.30034,0.57623,1.42469,0.00276538,0.00276538,0.00276538
97,20801.1,1.13406,0.6438,1.25198,0.95845,0.59353,0.64057,0.41489,1.2912,0.57649,1.41603,0.00268923,0.00268923,0.00268923
98,21015.3,1.1217,0.62801,1.24413,0.95815,0.59517,0.64037,0.41664,1.28475,0.57373,1.40844,0.00261308,0.00261308,0.00261308
99,21229.5,1.12471,0.63822,1.25074,0.95952,0.59485,0.64049,0.4138,1.29892,0.57709,1.42017,0.00253692,0.00253692,0.00253692
100,21443.6,1.11833,0.61406,1.24241,0.96182,0.59369,0.64236,0.41727,1.29164,0.5677,1.41944,0.00246077,0.00246077,0.00246077
101,21657.8,1.12608,0.62875,1.24479,0.95908,0.59175,0.64227,0.41654,1.29345,0.56761,1.42085,0.00238462,0.00238462,0.00238462
102,21872,1.1171,0.62943,1.24422,0.95713,0.59494,0.64238,0.41818,1.2872,0.57096,1.41756,0.00230846,0.00230846,0.00230846
103,22086.2,1.11382,0.62493,1.24524,0.96097,0.59543,0.64242,0.41887,1.28551,0.56261,1.41748,0.00223231,0.00223231,0.00223231
104,22300.4,1.1121,0.61533,1.2313,0.95772,0.59771,0.6425,0.41839,1.29138,0.56508,1.4192,0.00215615,0.00215615,0.00215615
105,22514.6,1.10272,0.61267,1.23209,0.96192,0.59109,0.64285,0.41422,1.30862,0.568,1.43533,0.00208,0.00208,0.00208
106,22728.7,1.10363,0.60615,1.22622,0.95742,0.60101,0.64302,0.41782,1.30011,0.5647,1.42862,0.00200385,0.00200385,0.00200385
107,22942.9,1.10074,0.60728,1.23174,0.95872,0.59748,0.64237,0.4131,1.32419,0.57677,1.44754,0.00192769,0.00192769,0.00192769
108,23157.2,1.09514,0.60231,1.22593,0.96208,0.59858,0.64324,0.41711,1.30374,0.57608,1.4324,0.00185154,0.00185154,0.00185154
109,23371.3,1.10374,0.61086,1.22588,0.96461,0.59228,0.64091,0.41279,1.31791,0.5769,1.43967,0.00177538,0.00177538,0.00177538
110,23585.5,1.09997,0.60765,1.23091,0.96043,0.59247,0.64128,0.41503,1.31311,0.57202,1.43768,0.00169923,0.00169923,0.00169923
111,23799.7,1.09477,0.60548,1.2256,0.95809,0.59692,0.64084,0.4131,1.31102,0.57253,1.43691,0.00162308,0.00162308,0.00162308
